"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"4283","443","1400000US06037101110","Census Tract 1011.10, Los Angeles County, California"
"3405","334","1400000US06037101122","Census Tract 1011.22, Los Angeles County, California"
"6347","484","1400000US06037101210","Census Tract 1012.10, Los Angeles County, California"
"3702","276","1400000US06037101220","Census Tract 1012.20, Los Angeles County, California"
"3884","394","1400000US06037101300","Census Tract 1013, Los Angeles County, California"
"3458","377","1400000US06037101400","Census Tract 1014, Los Angeles County, California"
"1763","204","1400000US06037102103","Census Tract 1021.03, Los Angeles County, California"
"3721","381","1400000US06037102104","Census Tract 1021.04, Los Angeles County, California"
"1905","184","1400000US06037102105","Census Tract 1021.05, Los Angeles County, California"
"4349","267","1400000US06037102107","Census Tract 1021.07, Los Angeles County, California"
"2428","200","1400000US06037103101","Census Tract 1031.01, Los Angeles County, California"
"4734","345","1400000US06037103102","Census Tract 1031.02, Los Angeles County, California"
"6349","591","1400000US06037103200","Census Tract 1032, Los Angeles County, California"
"3781","337","1400000US06037103300","Census Tract 1033, Los Angeles County, California"
"6416","327","1400000US06037103400","Census Tract 1034, Los Angeles County, California"
"3431","517","1400000US06037104103","Census Tract 1041.03, Los Angeles County, California"
"6054","529","1400000US06037104105","Census Tract 1041.05, Los Angeles County, California"
"6001","471","1400000US06037104108","Census Tract 1041.08, Los Angeles County, California"
"3875","374","1400000US06037104124","Census Tract 1041.24, Los Angeles County, California"
"4569","458","1400000US06037104201","Census Tract 1042.01, Los Angeles County, California"
"5441","504","1400000US06037104203","Census Tract 1042.03, Los Angeles County, California"
"3679","315","1400000US06037104204","Census Tract 1042.04, Los Angeles County, California"
"4962","699","1400000US06037104310","Census Tract 1043.10, Los Angeles County, California"
"5292","551","1400000US06037104320","Census Tract 1043.20, Los Angeles County, California"
"3270","410","1400000US06037104401","Census Tract 1044.01, Los Angeles County, California"
"3341","394","1400000US06037104403","Census Tract 1044.03, Los Angeles County, California"
"3084","330","1400000US06037104404","Census Tract 1044.04, Los Angeles County, California"
"3025","468","1400000US06037104500","Census Tract 1045, Los Angeles County, California"
"3386","350","1400000US06037104610","Census Tract 1046.10, Los Angeles County, California"
"3528","358","1400000US06037104620","Census Tract 1046.20, Los Angeles County, California"
"4402","322","1400000US06037104701","Census Tract 1047.01, Los Angeles County, California"
"2174","251","1400000US06037104703","Census Tract 1047.03, Los Angeles County, California"
"4321","467","1400000US06037104704","Census Tract 1047.04, Los Angeles County, California"
"5631","588","1400000US06037104810","Census Tract 1048.10, Los Angeles County, California"
"3551","282","1400000US06037104821","Census Tract 1048.21, Los Angeles County, California"
"2839","341","1400000US06037104822","Census Tract 1048.22, Los Angeles County, California"
"3093","372","1400000US06037106010","Census Tract 1060.10, Los Angeles County, California"
"5420","455","1400000US06037106020","Census Tract 1060.20, Los Angeles County, California"
"4191","356","1400000US06037106111","Census Tract 1061.11, Los Angeles County, California"
"5611","477","1400000US06037106112","Census Tract 1061.12, Los Angeles County, California"
"3697","307","1400000US06037106113","Census Tract 1061.13, Los Angeles County, California"
"6324","509","1400000US06037106114","Census Tract 1061.14, Los Angeles County, California"
"3667","441","1400000US06037106403","Census Tract 1064.03, Los Angeles County, California"
"4758","562","1400000US06037106405","Census Tract 1064.05, Los Angeles County, California"
"5839","729","1400000US06037106406","Census Tract 1064.06, Los Angeles County, California"
"3119","277","1400000US06037106407","Census Tract 1064.07, Los Angeles County, California"
"3667","351","1400000US06037106408","Census Tract 1064.08, Los Angeles County, California"
"5618","445","1400000US06037106510","Census Tract 1065.10, Los Angeles County, California"
"5920","475","1400000US06037106520","Census Tract 1065.20, Los Angeles County, California"
"3156","188","1400000US06037106603","Census Tract 1066.03, Los Angeles County, California"
"5068","546","1400000US06037106604","Census Tract 1066.04, Los Angeles County, California"
"2372","89","1400000US06037106641","Census Tract 1066.41, Los Angeles County, California"
"2961","282","1400000US06037106642","Census Tract 1066.42, Los Angeles County, California"
"4577","265","1400000US06037106643","Census Tract 1066.43, Los Angeles County, California"
"3650","435","1400000US06037106645","Census Tract 1066.45, Los Angeles County, California"
"3161","312","1400000US06037106646","Census Tract 1066.46, Los Angeles County, California"
"4546","379","1400000US06037106648","Census Tract 1066.48, Los Angeles County, California"
"2661","228","1400000US06037106649","Census Tract 1066.49, Los Angeles County, California"
"3141","340","1400000US06037107010","Census Tract 1070.10, Los Angeles County, California"
"5317","544","1400000US06037107020","Census Tract 1070.20, Los Angeles County, California"
"2327","185","1400000US06037108101","Census Tract 1081.01, Los Angeles County, California"
"3552","247","1400000US06037108102","Census Tract 1081.02, Los Angeles County, California"
"3099","448","1400000US06037108103","Census Tract 1081.03, Los Angeles County, California"
"1836","278","1400000US06037108104","Census Tract 1081.04, Los Angeles County, California"
"5460","320","1400000US06037108201","Census Tract 1082.01, Los Angeles County, California"
"7487","529","1400000US06037108202","Census Tract 1082.02, Los Angeles County, California"
"2797","264","1400000US06037109100","Census Tract 1091, Los Angeles County, California"
"2846","296","1400000US06037109200","Census Tract 1092, Los Angeles County, California"
"2962","201","1400000US06037109300","Census Tract 1093, Los Angeles County, California"
"3903","633","1400000US06037109400","Census Tract 1094, Los Angeles County, California"
"4832","585","1400000US06037109500","Census Tract 1095, Los Angeles County, California"
"4945","404","1400000US06037109601","Census Tract 1096.01, Los Angeles County, California"
"4297","470","1400000US06037109603","Census Tract 1096.03, Los Angeles County, California"
"3195","313","1400000US06037109604","Census Tract 1096.04, Los Angeles County, California"
"4616","279","1400000US06037109700","Census Tract 1097, Los Angeles County, California"
"5534","556","1400000US06037109800","Census Tract 1098, Los Angeles County, California"
"3179","262","1400000US06037111100","Census Tract 1111, Los Angeles County, California"
"3628","400","1400000US06037111201","Census Tract 1112.01, Los Angeles County, California"
"5169","506","1400000US06037111202","Census Tract 1112.02, Los Angeles County, California"
"6114","410","1400000US06037111204","Census Tract 1112.04, Los Angeles County, California"
"3869","372","1400000US06037111205","Census Tract 1112.05, Los Angeles County, California"
"4379","315","1400000US06037111206","Census Tract 1112.06, Los Angeles County, California"
